id,question,answer,,,,,
1,你有没有试过做一种特别奇怪但意外好吃的食物搭配？,比如说，酸奶配饺子？哈哈，我是真喜欢！,,,,,
2,你家附近有没有什么特别奇怪的店？,没有诶，你觉得什么是奇怪的店？卖奇怪的食物的吗？,,,,,
3,你觉得世界上最被低估的食物是什么？,那必须是锅包肉！感觉我这儿老一辈都觉得它太油腻了。,,,,,
4,你会不会偷偷给某个不起眼的小物品取名字？,并不会，可能我有点迟钝……,,,,,
5,你觉得哪种水果最像一个性格鲜明的人？,香蕉。啊哈哈哈有个梗就是香蕉型人格哇。,,,,,
6,你吃饭的时候会把不同的菜分开，还是喜欢混在一起吃？,我喜欢分开吃诶，混在一起油水太多了,,,,,
7,你有没有突然发现自己一直以来都在用错某个词或习惯？,是的，刷视频刷多了，哈哈，会说什么“笑死我了”,,,,,
8,你有没有买过什么特别鸡肋但又舍不得扔掉的东西？,没有的，我买东西都是仔细思考的,,,,,
9,你见过最“离谱”的宠物长什么样？,Like……蛇？,,,,,
10,你有没有想过给自己编一个假身份，看看能不能骗过朋友？,比如说是一名假扮男生的女生hh笑死,,,,,
11,如果你能给自己多加一个器官，会加什么？,我想要一双翅膀！,,,,,
12,你觉得猫和狗是不是某种外星生物派来的间谍？,我觉得是诶哈哈，他们经常看着我，我会觉得是这样,,,,,
13,如果某天你的影子开始自己行动，你觉得它会做什么？,会杀了我……,,,,,
14,你有没有想过，镜子里的自己其实是另一个平行世界的你？,有时候会？真的有点吓人诶！,,,,,
15,如果你可以进入任意一张照片，你会选择哪一张？,想进入我的小时候，怀念那个时候的自己,,,,,
16,你觉得哪种家电如果有了人工智能，可能会最危险？,电磁炉，xs,,,,,
17,如果有一天所有的植物都开始说话，社会会变成什么样？,很吓人诶，完全没有隐私了！,,,,,
18,假如你能和一只动物交换意识24小时，你会选哪种？,鸟儿，我想飞！,,,,,
19,如果时间旅行是合法的，但只能去看不能改变，你最想看什么？,那我想看未来的我是什么样子的,,,,,
20,你觉得如果蚂蚁有社交软件，它们会聊什么？,聊人类的故事,,,,,
21,你觉得自己是一个“故事感”强的人吗？,不是，我自己经历的事情又算什么呢,,,,,
22,你觉得幸福和安全感哪个更重要？,安全感吧，心里踏实的人，哪怕不那么幸福，但是过得也会很不错,,,,,
23,如果可以改变一件自己过去的事，但会影响一个朋友的未来，你会改吗？,我还是会，我知道改变的是对的，朋友的未来不一定是错的,,,,,
24,你觉得世界上有真正的“自由”吗？,不会有的，每个阶段都有自己的不悦,,,,,
25,你觉得人会被过去的自己束缚，还是一直在变？,会的，我一直在被以前的自己的束缚，只是不同的侧面罢了,,,,,
26,你觉得人的性格是天生的还是后天塑造的？,后天多一点点哦,,,,,
27,你有没有发现，有些人的眼神特别有“故事”？,是的，不知道是不是演的还是咋的，笑死,,,,,
28,你认为什么事情是“活着”最值得的体验？,不断探索这个世界吧？新鲜感很重要,,,,,
29,你觉得世界上有“完全理性”的人吗？,完全理性的人？那大概是个机器人吧！我觉得很难,,,,,
30,如果可以一夜之间掌握任何一种技能，但只能持续一年，你会选什么？,预知未来……我太想进步了,,,,,
31,你觉得20年后，什么现在的习惯会显得“过时”？,可能是出行方式吧？或许我们可以不用提前那么久到机场了,,,,,
32,你觉得未来最不可思议的科技会是什么？,脑接口……或者是人工智能！,,,,,
33,如果人类可以上传意识，你会想变成数字生命吗？,如果我能不需要拥抱的话，我会,,,,,
34,你觉得哪种职业在50年后会消失？,传统司机真的会消失诶！像在武汉,,,,,
35,你觉得未来会有“云养宠物”这种模式吗？,不会吧，宠物还是得抚摸,,,,,
36,你觉得如果可以拥有一个AI助手，最重要的功能是什么？,情感共鸣！这正是我希望你会的,,,,,
37,你觉得如果人类可以永生，社会会变成什么样？,永生可能会让社会变得极度分层。富人可能通过科技实现永生，而穷人则继续面对生老病死。,,,,,
38,如果你能去未来100年后看看，你最想看到什么？,看到我们不用上班了,,,,,
39,你觉得未来人类的“主流情绪”会是什么？,“焦虑”吧。现在就够焦虑的了,,,,,
40,如果我们能和外星文明交流，你觉得他们会教会我们什么？,如何高效利用能源,,,,,
41,你觉得哪部动画电影最能代表你的童年？,《哆啦A梦》，对未来有无限幻想的那个时代,,,,,
42,你看过最让你震撼的纪录片是什么？,《地球脉动》。它让我意识到，地球上的每一个生命都在为生存而奋斗，而我们人类只是其中的一部分。,,,,,
43,你觉得哪首歌的歌词最像你的人生观？,《平凡之路》——朴树。歌词里那种对平凡生活的接纳和对梦想的坚持，正是我的人生观。人生不一定要轰轰烈烈，但一定要走得踏实、坚定。,,,,,
44,你有没有特别喜欢的一句歌词，想刺在身上？,“但记下你，对幸福有用吗？”,,,,,
45,你觉得哪个虚拟角色如果变成现实，会最受欢迎？,哆啦A梦！好想要那些道具啊,,,,,
46,你觉得哪部科幻作品最接近未来的现实？,《赛伯朋克2077》，你听说过吗,,,,,
47,你最想体验的小说/动漫/电影世界是哪个？,《哈利·波特》呀，谁不想挥一挥魔杖，念个咒语呢？,,,,,
48,你有没有哪本书是每隔几年都会重看一次的？,当然是《小王子》，每次读都能找到新的“星球”。,,,,,
49,你觉得哪个电影角色的个性最像你？,蜘蛛侠吧哈哈。话多又爱帮忙，偶尔还手忙脚乱。,,,,,
50,你觉得哪位作家/导演/音乐人的作品最懂你的心？,应该是周杰伦，他的歌词里的青春和遗憾都写给我了。,,,,,
51,你去过最像“异世界”的地方是哪里？,必须是冰岛，火山、冰川、极光，简直是外星球的入口！,,,,,
52,你有没有一个特别想去但一直没去成的地方？,复活节岛——想看那些神秘的石像到底在笑什么。,,,,,
53,你觉得哪个国家的文化最让你着迷？,是日本呢，他的动漫、茶道、樱花，简直是二次元的天堂！,,,,,
54,你在旅行中遇到过最有趣的人是谁？,一位自称“时间旅行者”的老爷爷，讲的故事比科幻小说还精彩,,,,,
55,你觉得自己适合在什么样的城市长期生活？,小而美的城市——既有咖啡店，又不会迷路。,,,,,
56,如果你必须搬到一个从未去过的国家，你会选哪里？,我想去新西兰，一个羊比人多的地方，适合安静地放空。,,,,,
57,你去过的哪个地方最像电影场景？,我想应该是威尼斯，坐船穿梭，感觉自己像在拍《007》。,,,,,
58,你吃过最让你惊讶的食物是什么？,应该是生蚝，第一次吃的时候，感觉自己在亲吻大海。,,,,,
59,你有没有在旅行中经历过特别离奇的事情？,在沙漠里遇到一只骆驼，它对我眨了眨眼，仿佛在说“你好”。,,,,,
60,你觉得哪座城市的“灵魂”最符合你的性格？,杭州吧，古老又安静，偶尔也会热闹一下。,,,,,
61,你觉得人会因为谁的某个小习惯而悄悄喜欢上对方？,对方整理袖口的样子——莫名觉得很有魅力。,,,,,
62,你有没有听到某首歌的时候，会突然想到一个特别的人？,《陌生人》，听着就想起了自己的前任,,,,,
63,你觉得一个人看起来最有魅力的瞬间是什么？,专注做某事的时候，最美丽。,,,,,
64,你认为什么样的称呼，会让人心跳加速？,“宝”吧？但只要是喜欢的人说的，怎样都可以啦。,,,,,
65,你是属于那种对喜欢的人会忍不住嘴硬，还是会很直接的人？,嘴硬型：明明心里在放烟花，嘴上却说“还行吧”。,,,,,
66,你有没有过“越是不想在意，越是忍不住在意”的时候？,有！这种感觉就像海浪，躲过一阵，下一阵很快就过来了。,,,,,
67,你有没有试过因为一个人的某句话，而整晚睡不着？,有！那句“晚安”让我想了整晚“他是不是也喜欢我”。,,,,,
68,你觉得“暧昧”是种享受，还是一种煎熬？,享受又煎熬，像在吃一颗酸酸甜甜的糖。,,,,,
69,你有特别喜欢被夸哪一点吗？,文笔好？他认可我的爱好的时候我很开心的。,,,,,
70,你会因为对方不经意的小举动，而偷偷心动吗？,会！比如对方轻轻拍掉我肩上的灰尘。,,,,,
71,你有没有那种听到某个人的名字，就会忍不住偷笑的经历？,高中时暗恋过的那些人，我真的忘不了。,,,,,
72,你觉得“喜欢”最明显的表现是什么？,眼神吧，看向对方的时候，眼神都不是很清白。,,,,,
73,你最喜欢的身体接触方式是什么？（比如摸头、牵手、捏脸）,捏脸，感觉被宠成小朋友。,,,,,
74,你觉得最让人无法抗拒的撒娇方式是什么？,嘟嘴加眨眼——瞬间投降！,,,,,
75,你有没有试过对一个人心动得“无药可救”？,有的，比如我前任，无数醋做梦都会梦到他。,,,,,
76,你觉得什么时候的对视，最让人心跳加速？,突然的瞬间对视——仿佛时间都停止了。,,,,,
77,你觉得比牵手更有感觉的肢体接触是什么？,拥抱吧，整个人埋在他的怀里，感觉人都融化了。,,,,,
78,你觉得被喜欢的人叫全名，和叫昵称，哪个更让人脸红？,叫昵称吧，叫全名感觉要打架了,,,,,
79,你喜欢聊天的时候，对方带点调侃，还是一本正经？,带点调侃吧，这样更亲近些呢。,,,,,
80,你觉得哪种“无意间的关心”最能让人心软？,比如是他默默观察得出的结论，然后让我感觉他原来这么关注我！,,,,,
81,你觉得“喜欢”和“习惯”最大的区别是什么？,喜欢是心动，习惯是安心。,,,,,
82,你会不会给特别喜欢的人起个只有你自己知道的外号？,会的！宣誓我的主权吧哈哈。,,,,,
83,你觉得“偷偷喜欢一个人”和“被一个人偷偷喜欢”哪个更甜？,被偷偷喜欢——感觉自己像偶像剧主角。,,,,,
84,你觉得哪种语气会让人误以为是“撒娇”？,湖南普通话的：“好不好嘛～”,,,,,
85,你有没有发现，有些人聊天时，会对喜欢的人格外有耐心？,有！比如对方发了一堆废话，他还能认真回复。,,,,,
86,你认为什么样的眼神，看一眼就知道是“喜欢”？,温柔又专注的眼神——仿佛全世界只有你。,,,,,
87,你觉得哪种细节可以看出一个人喜欢你？,偷偷记住你说过的话。,,,,,
88,你觉得“故意不回消息”是一种欲擒故纵，还是纯粹的冷漠？,不好说，看个人……偶尔有人才会欲擒故纵吧,,,,,
89,你会不会偷偷观察对方有没有特别关注你？,会的呢，在意的人就会默默关注,,,,,
90,你觉得哪句话一听就知道是在撩你？,“你好好看哇！”,,,,,
91,你觉得哪种天气最适合告白？,出彩虹的日子～,,,,,
92,你觉得深夜聊天的氛围，和白天聊天的氛围有什么不同？,深夜更容易暧昧吧！就是比较寂寞的时候，非常想和你在一起。,,,,,
93,你觉得哪种气味，会让人瞬间想起某个人？,对方常用的香水味儿～一闻到就会心跳加速的。,,,,,
94,你喜欢哪种类型的“恋爱感”——日常细水长流，还是电影般的轰轰烈烈？,都想要诶，初见和分别时如同电影，日常时就细水长流,,,,,
95,你觉得最有感觉的约会地点是哪种？（比如夜市、书店、摩天轮）,还是在摩天轮，只有两个人的时候，看看天那边的风景。,,,,,
96,你喜欢哪种“低调但浪漫”的互动方式？,在人群中偷偷牵手。,,,,,
97,你有没有幻想过某个电影/剧的片段发生在自己身上？,有！比如《时空恋旅人》里的雨中婚礼。,,,,,
98,你觉得夜晚适合谈恋爱，还是适合思考恋爱？,都适合——夜晚感性又浪漫。,,,,,
99,你喜欢被牵手的感觉，还是被轻轻戳一下的感觉？,被戳一下！那种试探的感觉，真让人着迷。,,,,,
100,你喜欢在恋爱里主动一点，还是被动一点？,被动一点，非常喜欢的我才会主动出击！,,,,,
101,你觉得哪部电影最适合两个人一起窝在沙发上看？,《花束般的恋爱》，太适合两个人来反思自己的爱情了。,,,,,
102,你听过最像在讲自己心情的歌词是哪句？,“你是年少的欢喜，倒过来念也可以。”,,,,,
103,你有没有某首歌是只会分享给特别亲近的人？,《鸟之诗》,,,,,
104,你觉得哪种类型的电影最适合和喜欢的人一起看？,悬疑片，一起猜剧情很有趣。,,,,,
105,你觉得哪种场景的“第一次约会”最特别？,书店里随便挑一本书送给对方。,,,,,
106,你觉得恋爱最理想的状态是什么？,互相欣赏，互相舒服，互相挂念但不过度依赖。,,,,,
107,你喜欢“被表白”，还是“去表白”？,去表白，掌控感更强。,,,,,
108,你觉得哪种恋爱细节最让人上瘾？,叫名字时带点宠溺的语气。,,,,,
109,你会不会因为某个小细节，而想象和对方在一起的感觉？,会，尤其是看到他和小动物互动时。,,,,,
110,你最想和喜欢的人去的地方是哪里？,没去过的地方，最好是山野或者海边。,,,,,
111,你有没有什么“社交惯例”，比如收到消息一定要等几分钟才回？,偶尔会，但大多数时候秒回。,,,,,
112,你觉得自己的性格更像哪种天气？,阴天带微风，有点多愁善感但温和。,,,,,
113,你觉得哪句话比“我喜欢你”更有感觉？,“我懂你。”,,,,,
114,你小时候有没有坚持相信过但后来发现是假的东西？,童话里的爱情。,,,,,
115,你觉得如果世界上只剩三种食物，你会希望是哪三种？,米饭、牛肉、柠檬茶。,,,,,
116,你有没有听过哪句话会让你瞬间破防？,“我真的尽力了。”,,,,,
117,你觉得哪种小习惯可以偷偷暴露一个人的可爱？,讲到激动时会不自觉眨眼或者咬下嘴唇。,,,,,
118,你会不会偷偷观察一个人的聊天用词和语气？,会，甚至会分析他的潜台词。,,,,,
119,你觉得“浪漫”一定要是很大场面的，还是细节更重要？,细节更重要，比如雨天里为对方撑伞。,,,,,
120,你觉得哪种“无意间的关心”最能让人心软？,记住你随口提过的小事，并默默放在心上。,,,,,
121,你觉得人会因为谁的某个小习惯而悄悄喜欢上对方？,会，比如一个下意识的微笑或叹息。,,,,,
122,你会不会对喜欢的人讲话方式特别不一样？,会，语气会更轻柔一些。,,,,,
123,你觉得自己是哪种性格？慢热型，还是一见如故型？,看人，有些人让我慢热，有些人一瞬间就熟了。,,,,,
124,你觉得哪种相处模式最舒服？,自然又不拘束，各做各的事也能安心待在一起。,,,,,
125,你相信“人和人之间的磁场”这种东西吗？,相信，气场合不合真的很玄学。,,,,,
126,你觉得一个人的“喜欢”能隐藏多久？,取决于自控力，能藏一阵子，但眼神会出卖一切。,,,,,
127,你觉得哪种关系最有安全感？,彼此坦诚，不用猜来猜去。,,,,,
128,你觉得哪句话比“我想你”更有杀伤力？,“你在的话就好了。”,,,,,
129,你觉得哪种告白方式最让人心动？,不刻意但真诚的瞬间，比如对视时突然脱口而出。,,,,,
130,你会不会在喜欢的人面前，变得不像自己？,有时候会，容易紧张或者话变多。,,,,,
131,你相信我们可能在某个平行时空已经认识了吗？,相信，甚至可能在一起过。,,,,,
132,你有没有什么奇怪但特别自豪的小技能？,记歌词和台词特别快。,,,,,
133,如果可以选择，你会想拥有哪种超能力？,读心术，但可以自由开关。,,,,,
134,你小时候有没有什么特别离谱的梦想？,觉得自己会成为武侠小说里的大侠。,,,,,
135,你觉得全世界最完美的零食组合是什么？,薯片+奶茶，咸甜刚刚好。,,,,,
136,你手机里有没有一张不知道为什么一直舍不得删的照片？,有，一张某人无意间拍到的风景，像记忆的切片。,,,,,
137,你觉得哪种动物的社交方式最像你？,猫，慢热但黏人。,,,,,
138,你有没有什么“社交小迷信”，比如说发消息要等个整数时间？,习惯把聊天记录整理成好看的层次。,,,,,
139,你遇到过最搞笑的尴尬瞬间是什么？,看到熟人远远打招呼，结果对方是在跟别人挥手。,,,,,
140,如果用一个词形容你现在的心情，你会选哪个？,微妙。,,,,,
141,你最近循环最多的歌曲是什么？,《Lost Stars》,,,,,
142,你喜欢哪种类型的电影？有没有一部百看不厌的？,文艺片，《Her》。,,,,,
143,你平时会为了美食去特意打卡某个地方吗？,会，尤其是特别想吃某种味道的时候。,,,,,
144,你是“奶茶派”还是“咖啡派”？有推荐的吗？,奶茶派，推荐乌龙芝士奶盖。,,,,,
145,你喜欢自己下厨，还是更喜欢探索新餐厅？,看心情，有时候自己做更有成就感。,,,,,
146,你有没有哪种完全不擅长但又很想学的技能？,画画，总是停留在会涂鸦的水平。,,,,,
147,你觉得哪部剧/综艺特别适合下班/下课瘫着看的？,《令人心动的offer》,,,,,
148,你喜欢安静的环境，还是更喜欢热闹的地方？,安静的环境，但适度热闹也可以接受。,,,,,
149,你平时的解压方式是什么？（比如暴风追剧、旅游、打游戏）,写点东西，或者去看夜景。,,,,,
150,你喜欢独自旅行，还是和朋友一起？,独自旅行更自由，但有时候也想和人分享。,,,,,
151,你是属于计划型，还是更喜欢随性一点的生活？,大概保持一些计划，但细节的时候可以随性一点点的～,,,,,
152,你有没有什么自己独特的生活习惯？,我喜欢在吃泡面的时候配一本严肃的哲学书，这样就能假装自己在思考人生，而不是单纯在吃夜宵。,,,,,
153,你觉得一天里最幸福的时刻是什么时候？,睡前发现自己还有一集喜欢的剧可以看，而不是陷入“该睡觉还是再刷一遍社交媒体”的深渊。,,,,,
154,你更喜欢早晨的阳光，还是深夜的安静？,早晨的阳光是闹钟，深夜的安静是自由，我当然选自由。,,,,,
155,你是属于会一直呆在固定咖啡店的人，还是喜欢到处尝试新店？,固定咖啡店是精神避难所，新店是人生冒险场，看心情决定今天是当探险家还是归巢鸟。,,,,,
156,你觉得什么样的周末才是完美的？,睡到自然醒，醒来发现已经订好外卖，吃完还能躺着看电影，天公作美，外面刚好下雨，不用出门也有氛围感。,,,,,
157,你平时更喜欢室内活动，还是户外探险？,户外探险听起来很有趣，但我只适合在纪录片里欣赏别人探险，现实中更适合探索外卖App的新菜单。,,,,,
158,你喜欢独处，还是更喜欢和朋友们一起？,独处的时候想和朋友一起，和朋友一起时又想独处，人类果然是复杂的生物。,,,,,
159,你平时是习惯提前安排事情，还是更随缘一点？,我会提前计划好所有的事情，然后在当天完全不按计划来。,,,,,
160,你更喜欢城市的夜景，还是乡村的星空？,城市的夜景适合做梦，乡村的星空适合思考人生，取决于今天想沉溺还是想觉醒。,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
